Date,Cumulative cases / day
12-02-21,"28,887"
13-02-21,"28,892"
14-02-21,"28,898"
15-02-21,"28,900"
16-02-21,"28,905"
17-02-21,"28,911"
18-02-21,"28,912"
19-02-21,"28,918"
20-02-21,"28,920"
21-02-21,"28,926"
22-02-21,"28,930"
23-02-21,"28,937"
24-02-21,"28,939"
25-02-21,"28,947"
26-02-21,"28,958"
27-02-21,"28,965"
28-02-21,"28,970"
01-03-21,"28,978"
02-03-21,"28,986"
03-03-21,"28,996"
04-03-21,"28,996"
05-03-21,"29,020"
06-03-21,"29,030"
07-03-21,"29,037"
08-03-21,"29,046"
09-03-21,"29,061"
10-03-21,"29,075"
11-03-21,"29,090"
12-03-21,"29,102"
13-03-21,"29,112"
14-03-21,"29,117"
15-03-21,"29,130"
16-03-21,"29,137"
17-03-21,"29,153"
18-03-21,"29,166"
19-03-21,"29,183"
20-03-21,"29,192"
21-03-21,"29,196"
22-03-21,"29,206"
23-03-21,"29,211"
24-03-21,"29,220"
25-03-21,"29,228"
26-03-21,"29,240"
27-03-21,"29,253"
28-03-21,"29,260"
29-03-21,"29,278"
30-03-21,"29,296"
31-03-21,"29,305"
01-04-21,"29,323"
02-04-21,"29,335"
03-04-21,"29,341"
04-04-21,"29,348"
05-04-21,"29,357"
06-04-21,"29,365"
07-04-21,"29,379"
08-04-21,"29,385"
09-04-21,"29,390"
10-04-21,"29,396"
11-04-21,"29,405"
12-04-21,"29,419"
13-04-21,"29,437"
14-04-21,"29,450"
15-04-21,"29,469"
16-04-21,"29,484"
17-04-21,"29,505"
18-04-21,"29,519"
19-04-21,"29,543"
20-04-21,"29,559"
21-04-21,"29,578"
22-04-21,"29,602"
23-04-21,"29,640"
24-04-21,"29,658"
25-04-21,"29,666"
26-04-21,"29,695"
27-04-21,"29,725"
28-04-21,"29,750"
29-04-21,"29,779"
30-04-21,"29,801"
01-05-21,"29,812"
02-05-21,"29,826"
03-05-21,"29,841"
04-05-21,"29,852"
05-05-21,"29,866"
06-05-21,"29,886"
07-05-21,"29,897"
08-05-21,"29,906"
09-05-21,"29,923"
10-05-21,"29,931"
11-05-21,"29,940"
12-05-21,"29,947"
13-05-21,"29,955"
14-05-21,"29,957"
15-05-21,"29,967"
16-05-21,"29,975"
17-05-21,"29,978"
18-05-21,"29,988"
19-05-21,"29,991"
20-05-21,"29,997"
21-05-21,"30,000"
22-05-21,"30,008"
23-05-21,"30,011"
24-05-21,"30,021"
25-05-21,"30,030"
26-05-21,"30,048"
27-05-21,"30,063"
28-05-21,"30,073"
29-05-21,"30,083"
30-05-21,"30,098"
31-05-21,"30,106"
01-06-21,"30,118"
02-06-21,"30,130"
03-06-21,"30,137"
04-06-21,"30,150"
05-06-21,"30,158"
06-06-21,"30,175"
07-06-21,"30,195"
08-06-21,"30,204"
09-06-21,"30,211"
10-06-21,"30,226"
11-06-21,"30,229"
12-06-21,"30,237"
13-06-21,"30,248"
14-06-21,"30,262"
15-06-21,"30,274"
16-06-21,"30,291"
17-06-21,"30,304"
18-06-21,"30,313"
19-06-21,"30,323"
20-06-21,"30,333"
21-06-21,"30,356"
22-06-21,"30,373"
23-06-21,"30,393"
24-06-21,"30,416"
25-06-21,"30,438"
26-06-21,"30,457"
27-06-21,"30,502"
28-06-21,"30,529"
29-06-21,"30,562"
30-06-21,"30,611"
01-07-21,"30,643"
02-07-21,"30,685"
03-07-21,"30,734"
04-07-21,"30,757"
05-07-21,"30,803"
06-07-21,"30,832"
07-07-21,"30,861"
08-07-21,"30,907"
09-07-21,"30,955"
10-07-21,"31,017"
11-07-21,"31,103"
12-07-21,"31,226"
13-07-21,"31,323"
14-07-21,"31,430"
15-07-21,"31,516"
16-07-21,"31,632"
17-07-21,"31,771"
18-07-21,"31,898"
19-07-21,"32,018"
20-07-21,"32,129"
21-07-21,"32,275"
22-07-21,"32,429"
23-07-21,"32,582"
24-07-21,"32,755"
25-07-21,"32,917"
26-07-21,"33,081"
27-07-21,"33,268"
28-07-21,"33,474"
29-07-21,"33,732"
30-07-21,"33,909"
31-07-21,"34,131"
01-08-21,"34,386"
02-08-21,"34,613"
03-08-21,"34,835"
04-08-21,"35,090"
05-08-21,"35,387"
06-08-21,"35,689"
07-08-21,"36,046"
08-08-21,"36,331"
09-08-21,"36,631"
10-08-21,"37,010"
11-08-21,"37,373"
12-08-21,"37,755"
13-08-21,"38,167"
14-08-21,"38,663"
15-08-21,"39,097"
16-08-21,"39,615"
17-08-21,"40,097"
18-08-21,"40,774"
19-08-21,"41,522"
20-08-21,"42,228"
21-08-21,"43,119"
22-08-21,"44,026"
23-08-21,"44,922"
24-08-21,"45,750"
25-08-21,"46,728"
26-08-21,"47,839"
27-08-21,"48,815"
28-08-21,"49,937"
29-08-21,"51,257"
30-08-21,"52,612"
31-08-21,"53,851"
01-09-21,"55,093"
02-09-21,"56,575"
03-09-21,"58,210"
04-09-21,"59,951"
05-09-21,"61,609"
06-09-21,"63,155"
07-09-21,"64,628"
08-09-21,"66,318"
09-09-21,"68,045"
10-09-21,"69,911"
11-09-21,"71,955"
12-09-21,"73,605"
13-09-21,"75,324"
14-09-21,"76,895"
15-09-21,"78,545"
16-09-21,"80,402"
17-09-21,"82,202"
18-09-21,"84,056"
19-09-21,"85,629"
20-09-21,"87,101"
21-09-21,"88,710"
22-09-21,"90,372"
23-09-21,"92,221"
